Id,Name,Type,Description,Created on,Updated on,Owner,License,Includes wiki,Forks count,Issues count,Stars count,Watchers count,Repo URL,Commits URL,Languages URL,Languages
3859306,cubism,Organization,Cubism.js: A JavaScript library for time series visualization.,2012-03-28T20:30:48Z,2021-02-16T17:01:59Z,square,Other,True,576,46,4899,4899,https://api.github.com/repos/square/cubism,https://api.github.com/repos/square/cubism/commits,https://api.github.com/repos/square/cubism/languages,
335059626,curtains,Organization,Lift the curtain on Android Windows!,2021-02-01T19:24:16Z,2021-03-08T12:26:11Z,square,Apache License 2.0,True,3,1,266,266,https://api.github.com/repos/square/curtains,https://api.github.com/repos/square/curtains/commits,https://api.github.com/repos/square/curtains/languages,
232632652,cycler,Organization,,2020-01-08T18:36:46Z,2021-03-06T16:38:38Z,square,Apache License 2.0,True,22,13,726,726,https://api.github.com/repos/square/cycler,https://api.github.com/repos/square/cycler/commits,https://api.github.com/repos/square/cycler/languages,
5279091,dagger,Organization,A fast dependency injector for Android and Java.,2012-08-02T23:25:32Z,2021-03-08T12:24:59Z,square,Apache License 2.0,False,2991,62,7262,7262,https://api.github.com/repos/square/dagger,https://api.github.com/repos/square/dagger/commits,https://api.github.com/repos/square/dagger/languages,
9984924,dagger-intellij-plugin,Organization,An IntelliJ IDEA plugin for Dagger which provides insight into how injections and providers are used.,2013-05-10T16:02:30Z,2021-02-24T20:06:23Z,square,Apache License 2.0,False,46,9,803,803,https://api.github.com/repos/square/dagger-intellij-plugin,https://api.github.com/repos/square/dagger-intellij-plugin/commits,https://api.github.com/repos/square/dagger-intellij-plugin/languages,
62245239,debug_socket,Organization,Debug socket.,2016-06-29T17:36:03Z,2020-01-09T19:55:51Z,square,Apache License 2.0,False,2,1,6,6,https://api.github.com/repos/square/debug_socket,https://api.github.com/repos/square/debug_socket/commits,https://api.github.com/repos/square/debug_socket/languages,
203695767,droidcon-nyc-2019-workflow-game,Organization,,2019-08-22T02:02:17Z,2020-05-01T17:25:16Z,square,,False,4,0,21,21,https://api.github.com/repos/square/droidcon-nyc-2019-workflow-game,https://api.github.com/repos/square/droidcon-nyc-2019-workflow-game/commits,https://api.github.com/repos/square/droidcon-nyc-2019-workflow-game/languages,
108461954,ember-computable,Organization,EmberJS computed property addon that supports functional programming concepts.,2017-10-26T20:26:20Z,2019-07-03T20:50:29Z,square,Apache License 2.0,True,1,0,9,9,https://api.github.com/repos/square/ember-computable,https://api.github.com/repos/square/ember-computable/commits,https://api.github.com/repos/square/ember-computable/languages,
175881793,ember-square-payment-form,Organization,"The Square Payment Form Ember addon lets you take payments securely and easily in your Ember app using a familiar, component-based syntax.",2019-03-15T19:46:43Z,2020-11-02T17:15:14Z,square,MIT License,False,4,14,11,11,https://api.github.com/repos/square/ember-square-payment-form,https://api.github.com/repos/square/ember-square-payment-form/commits,https://api.github.com/repos/square/ember-square-payment-form/languages,
19263292,erg,Organization,CLI for querying range servers,2014-04-29T04:03:50Z,2020-10-15T20:43:37Z,square,Other,True,17,1,9,9,https://api.github.com/repos/square/erg,https://api.github.com/repos/square/erg/commits,https://api.github.com/repos/square/erg/languages,
243838452,eslint-plugin-square,Organization,"An eslint plugin containing custom JavaScript, Ember, React, TypeScript rules and configurations tailored to Square's needs.",2020-02-28T19:23:32Z,2021-03-01T15:41:17Z,square,Apache License 2.0,True,5,12,9,9,https://api.github.com/repos/square/eslint-plugin-square,https://api.github.com/repos/square/eslint-plugin-square/commits,https://api.github.com/repos/square/eslint-plugin-square/languages,
7903081,ETL,Organization,"Extract, Transform, and Load data with Ruby",2013-01-29T22:51:22Z,2021-02-23T07:38:19Z,square,Other,True,30,7,370,370,https://api.github.com/repos/square/ETL,https://api.github.com/repos/square/ETL/commits,https://api.github.com/repos/square/ETL/languages,
91601985,etre,Organization,Entity API for managing primitive entities with labels,2017-05-17T17:18:45Z,2021-03-02T16:06:39Z,square,Apache License 2.0,False,9,0,18,18,https://api.github.com/repos/square/etre,https://api.github.com/repos/square/etre/commits,https://api.github.com/repos/square/etre/languages,
109155373,etre-client-ruby,Organization,Ruby client for etre https://github.com/square/etre,2017-11-01T16:28:24Z,2021-02-17T15:05:57Z,square,Apache License 2.0,True,2,0,1,1,https://api.github.com/repos/square/etre-client-ruby,https://api.github.com/repos/square/etre-client-ruby/commits,https://api.github.com/repos/square/etre-client-ruby/languages,
275945748,extension-policy-helper,Organization,,2020-06-29T23:10:18Z,2020-07-02T04:44:10Z,square,Apache License 2.0,True,1,0,1,1,https://api.github.com/repos/square/extension-policy-helper,https://api.github.com/repos/square/extension-policy-helper/commits,https://api.github.com/repos/square/extension-policy-helper/languages,
